filename,Thrust_max_N,Thrust_mean_N,Impulse_Ns,Class
2021-03-27_16-00-23_clean,161.20117474302495,60.20776431718065,229.0204928358047,H60
2021-03-27_16-02-01_clean,69.83064121390116,38.286292088517925,138.15199009037707,G38
2021-03-27_16-03-26_clean,190.66960352422907,64.61582679703449,251.4478567591848,H64
2021-03-27_16-04-48_clean,757.9884973078806,265.42745262569053,880.4986215050584,J265
2021-03-27_16-05-59_clean,1051.598874204601,280.0015975961276,956.414811865903,J280
2021-03-27_16-07-03_clean,761.3029858051884,243.58371267743513,924.1001016784986,J243
2021-03-27_16-08-06_clean,1696.7922173274594,564.600312041116,1713.429721746238,K564
2021-03-27_16-09-14_clean,1382.683798335781,581.536339392712,1600.484786927496,K581
2021-03-27_16-10-31_clean,1266.7677435144396,451.5437516472758,1113.6907671477884,J451
2021-03-27_16-11-32_clean,2636.058492413118,561.0069557152792,1010.7606166613143,J561
2021-03-27_16-13-27_clean,1397.8649045521292,380.97424601829886,469.4029762395678,I380
2021-03-27_16-15-07_clean,323.0692608908468,125.55956078918634,719.6059197233229,J125
2021-03-27_16-17-52_clean,159.61722956436608,64.51416186603412,317.5850876037886,H64
